bag_id,true_label,pred_label,prob
file_06_bag_014,1,1,1.0
file_06_bag_015,1,0,0.1589
file_06_bag_016,1,0,0.2266
file_06_bag_017,1,1,1.0
file_06_bag_018,1,1,1.0
file_06_bag_019,1,1,1.0
file_06_bag_020,1,1,1.0
file_06_bag_021,1,1,1.0
file_06_bag_022,1,0,0.0
file_06_bag_023,1,0,0.0
file_06_bag_024,1,1,0.5343
file_06_bag_025,1,0,0.2279
file_06_bag_026,1,0,0.2274
file_06_bag_027,1,0,0.1962
file_06_bag_028,1,0,0.3826
file_06_bag_029,1,0,0.2325
file_21_bag_005,1,0,0.2281
file_21_bag_006,1,0,0.2319
file_21_bag_010,1,0,0.2143
file_21_bag_011,1,1,0.9594
file_21_bag_012,1,0,0.2291
file_21_bag_013,1,1,0.9979
file_21_bag_014,1,0,0.2445
file_21_bag_016,1,0,0.1642
file_21_bag_017,1,0,0.2271
file_21_bag_020,1,1,1.0
file_21_bag_021,1,1,1.0
file_21_bag_022,1,0,0.2384
file_21_bag_024,1,0,0.2342
file_21_bag_025,1,1,1.0
file_21_bag_026,1,0,0.0674
file_21_bag_027,1,0,0.4962
file_22_bag_000,1,0,0.229
file_22_bag_001,1,0,0.2295
file_22_bag_003,1,0,0.229
file_22_bag_007,1,0,0.1946
file_22_bag_009,1,0,0.229
file_22_bag_010,1,0,0.2262
file_22_bag_011,1,0,0.2274
file_22_bag_012,1,0,0.2253
file_22_bag_013,1,0,0.2274
file_22_bag_014,1,0,0.0
file_22_bag_017,1,0,0.2284
file_22_bag_018,1,0,0.2478
file_22_bag_019,1,0,0.2215
file_22_bag_021,1,0,0.2263
file_22_bag_026,1,0,0.2283
file_22_bag_027,1,0,0.229
file_22_bag_028,1,0,0.2104
file_22_bag_029,1,0,0.2059
file_06_bag_009,0,0,0.2419
file_06_bag_011,0,0,0.2298
file_06_bag_000,0,0,0.2298
file_06_bag_012,0,0,0.2298
file_06_bag_005,0,0,0.2298
file_06_bag_008,0,0,0.0995
file_06_bag_002,0,0,0.2298
file_06_bag_001,0,0,0.2298
file_06_bag_013,0,1,0.9664
file_06_bag_004,0,0,0.2298
file_06_bag_007,0,0,0.2298
file_06_bag_010,0,0,0.2298
file_06_bag_003,0,0,0.2298
file_06_bag_006,0,0,0.2298
file_21_bag_018,0,0,0.2265
file_21_bag_023,0,0,0.228
file_21_bag_000,0,0,0.2298
file_21_bag_028,0,0,0.3183
file_21_bag_007,0,0,0.2265
file_21_bag_015,0,0,0.2298
file_21_bag_002,0,0,0.2302
file_21_bag_001,0,0,0.2298
file_21_bag_029,0,0,0.2425
file_21_bag_004,0,0,0.2537
file_21_bag_009,0,1,1.0
file_21_bag_019,0,0,0.2273
file_21_bag_003,0,1,0.8839
file_21_bag_008,0,0,0.0498
file_22_bag_024,0,0,0.2298
file_22_bag_023,0,0,0.2298
file_22_bag_002,0,0,0.2299
file_22_bag_022,0,0,0.0
file_22_bag_015,0,0,0.2298
file_22_bag_005,0,0,0.0578
file_22_bag_004,0,0,0.2297
file_22_bag_025,0,0,0.2282
file_22_bag_008,0,0,0.2312
file_22_bag_020,0,0,0.2286
file_22_bag_006,0,0,0.24
file_22_bag_016,0,0,0.2298
